64.25;64.35;62.57;62.96;684690
62.37;62.37;58.95;59.85;1146000
58.01;59.4;57.47;58.71;849060
57.92;59.2;55.94;56.43;1066130
55.54;57.42;53.56;55.64;1850260
56.92;60.79;56.92;59.55;1671600
61.88;62.27;60.39;61.97;1011920
60.29;61.08;59.05;60.88;873040
59.99;63.71;59.7;62.86;1976030
62.96;64.05;61.58;63.36;1182330
63.36;66.33;63.06;65.34;1140980
66.13;67.67;65.34;65.34;1659120
65.24;66.08;64;66.08;1462410
65.54;66.68;65.04;66.18;1109200
65.34;67.72;65.04;65.04;1413140
65.44;66.73;65.04;66.33;1046830
65.04;66.58;64.55;65.54;527630
65.04;66.73;65.04;65.64;585490
64.84;66.73;64.8;65.79;1126520
66.03;66.03;64.15;64.15;499180
63.86;64.55;62.86;63.86;651150
64.65;65.84;64.25;65.34;744470
64.55;70.09;64.55;67.82;1132950
69.5;72.81;67.82;72.47;1701940
73.95;79.2;73.06;78.61;3169950
78.21;81.87;78.01;79.2;3718640
79.2;79.65;77.32;79.1;1420740
79.1;85.49;78.7;82.57;1204450
81.18;84.35;80.49;83.16;906610
83.46;84.45;82.07;83.95;576770
82.81;91.08;82.81;89.69;1495720
91.53;93.75;85.14;85.14;1587580
87.12;88.6;84.69;85.34;1498250
86.38;86.62;84.64;85.34;1091030
85.34;88.41;84.94;87.62;469960
84.25;86.53;84.25;85.68;664780
85.24;88.11;85.24;86.72;1338010
88.51;92.32;87.02;91.77;741820
92.07;93.75;87.62;88.9;870970
88.36;91.08;88.36;89.6;449640
88.41;89.4;86.67;86.72;805210
87.27;89;84.69;85.64;764920
87.37;91.08;84.6;90.29;1389940
91.08;93.06;86.72;88.46;1345640
89.1;96.92;89.1;93.56;1962740
96.92;96.92;93.36;93.56;576430
93.16;93.65;90.19;90.58;878650
89.89;90.78;86.33;87.12;788350
88;88;84.2;84.7;1282280
86.2;86.4;83.25;84.9;800140
84;84.3;82;82.7;779560
83.4;84.7;82;83;740440
81.9;81.95;79.9;81.5;1272540
79.5;81;79.5;79.5;1267860
79.9;80.9;78.55;79.3;1243070
78;79.8;77.5;78.4;980200
77.8;78;75.1;76.3;1488200
77.2;81.9;76.5;78.25;2775340
79.5;81.35;76.8;77.7;1213260
78.9;81.9;78;81.5;2157850
82.5;86.7;82;85;1100850
84.9;86.7;83.85;86.45;668000
87.1;87.5;84.5;86.5;785940
85.25;85.5;82.3;83.5;1115000
81.05;82.85;80.25;82.8;743360
83;84;73.4;74.4;1424990
71.9;73.1;69;69.05;2344870
69.05;70;63.2;65.5;1596580
68.5;73.2;66.8;72.55;1228560
75.3;75.5;71.8;75.45;1016990
77;80.45;76.2;77.3;518080
73;74.9;72.5;73;887050
72.6;73.1;68.8;70.2;819050
67.9;68.7;64.5;68;1873270
69;69.45;63.65;65;1521640
62.7;68.45;59.3;67.5;1774500
69;69.3;64.5;66.2;841960
67.6;68.7;65.6;66.7;1362530
68.5;71.95;67.15;70.6;846130
70;70.4;68.5;69;534270
70;71.7;69.5;70.25;759530
70;71.3;67.5;69.6;780230
70.8;72.45;69.5;70.2;850730
73;75.5;71.05;74.75;1499500
73.5;74.95;72.1;72.9;1233820
73;78;72.9;75.9;1197540
74.3;76.1;73.9;74.85;743980
75.9;76.9;73.8;74.5;380830
74.4;74.4;68.5;69.5;1806030
69.5;69.5;62.6;64;2758680
63.2;64.9;61.2;64.9;1500440
65.8;67;65.05;65.05;1263270
65.5;65.9;62.3;62.3;720340
62.6;68.9;62.6;67.1;2048360
68;68;64.6;65;828620
64.55;65.2;62.7;63.3;456660
64.2;64.3;57;57;2667970
58.5;60.1;55.25;56.55;1317860
58.8;59;56.1;57.95;1308470
56.6;56.8;52.6;53.5;2209400
